feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
n_color_up_cluster_within_0_2pct,1.0,3.0,3.0,NQ plus grand,False
dist_ext_edge_buy,1.0,3.0,3.0,NQ plus grand,False
retest_high_count,3.0,1.0,3.0,ES plus grand,False
dist_ib_low_pct,-0.048574,-0.141414,2.9113105776753,NQ plus grand,False
ctx_finish_strength_mean_5,26.0,9.4,2.7659574468085104,ES plus grand,False
dist_vwap_w_pct,0.25,0.69,2.76,NQ plus grand,False
big_ask_cluster_20t_t2,11.0,4.0,2.75,ES plus grand,False
big_bid_cluster_20t_t2,11.0,4.0,2.75,ES plus grand,False
finish_strength,45.0,17.0,2.6470588235294117,ES plus grand,False
ctx_vol_slope_5,136.1,51.6,2.637596899224806,ES plus grand,False
dist_vwap_w_sd1u_pct,0.55,1.42,2.5818181818181816,NQ plus grand,False
vol_per_sec,48.7167,19.0833,2.5528446337897535,ES plus grand,False
volume,2919.0,1144.0,2.5515734265734267,ES plus grand,False
total_vol,2919.0,1144.0,2.5515734265734267,ES plus grand,False
sell_vol,1467.0,577.0,2.5424610051993066,ES plus grand,False
cvd_session,5185.0,2042.5,2.5385556915544676,ES plus grand,False
delta_day,5185.0,2042.5,2.5385556915544676,ES plus grand,False
cvd_day,5185.0,2042.5,2.5385556915544676,ES plus grand,False
buy_vol,1460.0,579.0,2.5215889464594126,ES plus grand,False
ctx_delta_slope_5,47.7,20.1,2.373134328358209,ES plus grand,False
dist_pdh_pct,0.595508,1.377036,2.3123719580593374,NQ plus grand,False
diag_neg_delta,392.0,171.0,2.2923976608187133,ES plus grand,False
cvd_ohlc_range,13218.0,5774.0,2.2892275718739175,ES plus grand,False
dist_color_up_nearest_pct,0.48,0.21,2.2857142857142856,ES plus grand,False
dist_cash_low_pct,-0.086502,-0.191638,2.2154169845783915,NQ plus grand,False
ctx_bars_since_div,5.0,11.0,2.2,NQ plus grand,False
dist_color_dn_nearest_pct,0.48,0.22,2.1818181818181817,ES plus grand,False
dist_gex_nearest_up_pct,0.3,0.65,2.166666666666667,NQ plus grand,False
diag_pos_delta,389.0,182.0,2.1373626373626373,ES plus grand,False
ticks_count,2202.0,1059.0,2.0793201133144477,ES plus grand,False
n_edge_sell_active,2.0,4.0,2.0,NQ plus grand,False
div_confluence_with_regime,2.0,1.0,2.0,ES plus grand,False
n_edge_buy_active,2.0,4.0,2.0,NQ plus grand,False
dist_cur_vpoc_pct,0.05,0.1,2.0,NQ plus grand,False
dist_mq_hvl_pct,0.24,0.48,2.0,NQ plus grand,False
atr_regime_zscore_60d,-0.252153,-0.502546,1.993020110805741,NQ plus grand,False
dist_delta_div_buy_nearest_atr,0.00416,0.00820825,1.9731370192307696,NQ plus grand,False
delta_bar,124.0,63.0,1.9682539682539681,ES plus grand,False
cvd_bar_delta,124.0,63.0,1.9682539682539681,ES plus grand,False
dist_ib_high_pct,0.289299,0.5646549999999999,1.9518041887458994,NQ plus grand,False
ctx_delta_sum_3,259.0,133.0,1.9473684210526316,ES plus grand,False
big_ask_cluster_20t,27.0,14.0,1.9285714285714286,ES plus grand,False
dist_cash_high_pct,0.31249,0.5921595,1.8949710390732502,NQ plus grand,False
dist_mq_call_pct,1.42,2.65,1.8661971830985915,NQ plus grand,False
big_bid_cluster_20t,26.0,14.0,1.8571428571428572,ES plus grand,False
dist_sess_low_pct,-0.06,-0.11,1.8333333333333335,NQ plus grand,False
dist_vwap_w_atr,1.0151,1.84015,1.812777066298887,NQ plus grand,False
dist_us_low_pct,0.342544,0.6119844999999999,1.786586540707179,NQ plus grand,False
dist_vwap_m_pct,0.5,0.88,1.76,NQ plus grand,False
dist_ext_color_dn,149.0,261.5,1.75503355704698,NQ plus grand,False
dist_vwap_d_sd3u_pct,0.44,0.76,1.7272727272727273,NQ plus grand,False
dist_mq_call_0dte_pct,0.760887,1.31028,1.7220428263329508,NQ plus grand,False
dist_prev_vah_pct,0.395347,0.679005,1.71749121657683,NQ plus grand,False
ctx_delta_sum_10,535.0,313.0,1.70926517571885,ES plus grand,False
